ID,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15
32101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32103,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
32104,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32106,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32107,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
32108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32109,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
32110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32111,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
32112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32113,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0
32114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
32115,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0
32116,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
32117,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
32118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32119,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
32120,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
32121,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
32122,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
32123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32124,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
32125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32126,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
32127,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32129,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
32130,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
32131,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
32132,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
32133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32134,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
32135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32138,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
32139,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32140,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32141,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
32142,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
32143,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
32144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32145,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
32146,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
32147,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32150,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
32151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32153,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0
32154,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
32155,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0
32156,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
32157,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
32158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32159,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32160,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32163,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32164,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
32165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32168,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1
32169,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
32170,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1
32171,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0
32172,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
